timestamp,image_file,plant_id_by_position,length_cm
2025-10-12 20:11:37,Control_1.jpg,1,5.62
2025-10-12 20:11:37,Control_1.jpg,2,8.53
2025-10-12 20:11:37,Control_1.jpg,3,4.13
2025-10-12 20:11:37,Control_1.jpg,4,4.305
2025-10-12 20:11:37,Control_1.jpg,5,8.205
2025-10-12 20:43:57,Control_1.jpg,1,5.62
2025-10-12 20:43:57,Control_1.jpg,2,8.53
2025-10-12 20:43:57,Control_1.jpg,3,4.13
2025-10-12 20:43:57,Control_1.jpg,4,3.895
2025-10-12 20:43:57,Control_1.jpg,5,4.305
2025-10-12 20:43:57,Control_1.jpg,6,6.845
2025-10-12 20:43:57,Control_1.jpg,7,8.205
2025-10-12 20:43:57,Control_1.jpg,8,5.925
2025-10-12 21:11:44,Control_1.jpg,1,5.62
2025-10-12 21:11:44,Control_1.jpg,2,8.53
2025-10-12 21:11:44,Control_1.jpg,3,4.13
2025-10-12 21:11:44,Control_1.jpg,4,3.895
2025-10-12 21:11:44,Control_1.jpg,5,4.305
2025-10-12 21:11:44,Control_1.jpg,6,6.845
2025-10-12 21:11:44,Control_1.jpg,7,8.205
2025-10-12 21:11:44,Control_1.jpg,8,5.925
2025-10-12 21:15:29,Control_1.jpg,1,2.265
2025-10-12 21:15:29,Control_1.jpg,2,2.485
2025-10-12 21:15:29,Control_1.jpg,3,2.24
2025-10-12 21:15:29,Control_1.jpg,4,2.285
2025-10-12 21:15:29,Control_1.jpg,5,2.45
2025-10-12 21:15:29,Control_1.jpg,6,3.125
2025-10-12 21:15:29,Control_1.jpg,7,3.355
2025-10-14 11:08:57,Control_1.jpg,1,2.0312520000000003
2025-10-14 11:08:57,Control_1.jpg,2,2.228548
2025-10-14 11:08:57,Control_1.jpg,3,2.008832
2025-10-14 11:08:57,Control_1.jpg,4,2.049188
2025-10-14 11:08:57,Control_1.jpg,5,2.19716
2025-10-14 11:08:57,Control_1.jpg,6,2.8025
2025-10-14 11:08:57,Control_1.jpg,7,3.008764
2025-12-05 01:11:54,Control_1.jpg,1,2.0312520000000003
2025-12-05 01:11:54,Control_1.jpg,2,2.228548
2025-12-05 01:11:54,Control_1.jpg,3,2.008832
2025-12-05 01:11:54,Control_1.jpg,4,2.049188
2025-12-05 01:11:54,Control_1.jpg,5,2.1971600000000002
2025-12-05 01:11:54,Control_1.jpg,6,2.8025
2025-12-05 01:11:54,Control_1.jpg,7,3.008764
